# fit | chi2 = 31.42 | parameters: omega_b: 2.2350e-02, omega_cdm: 1.2000e-01, Omega_k: 0.0000e+00, Omega_nu: 0.0000e+00, Omega_m: 3.1243e-01, h: 6.7500e-01, A_s: 2.0989e-09, n_s: 9.6500e-01, sigma8: 8.2330e-01, 
# b1: 2.0466, c2: 1.1875, c4: 0.0000, b3: 0.7759, cct: 0.4174, cr1: -1.3032, cr2: -1.3002, ce0: 0.3168, ce1: 0.0000, ce2: -2.9460, cr4: 0.0000, cr6: 0.0000, b2: 0.8397, b4: 0.8397, 
# k [h/Mpc], P_data_l0 [Mpc/h]^3, sigma_data_l0 [Mpc/h]^3, P_theo_l0 [Mpc/h]^3k [h/Mpc], P_data_l2 [Mpc/h]^3, sigma_data_l2 [Mpc/h]^3, P_theo_l2 [Mpc/h]^3
0.0162 3.584520e+04 1.798002e+04 2.403281e+04
0.0269 1.381780e+04 9.881457e+03 2.294236e+04
0.0377 2.077820e+04 5.501754e+03 1.805290e+04
0.0485 1.397610e+04 3.531006e+03 1.420685e+04
0.0592 1.345490e+04 2.565701e+03 1.175919e+04
0.0700 1.194860e+04 1.920628e+03 9.827642e+03
0.0808 8.316160e+03 1.456235e+03 8.034041e+03
0.0916 4.942350e+03 1.069925e+03 6.536502e+03
0.1023 5.869490e+03 8.375930e+02 5.437153e+03
0.1131 4.413140e+03 6.613116e+02 4.605041e+03
0.1239 3.618970e+03 5.795153e+02 3.905550e+03
0.1346 3.953540e+03 4.881301e+02 3.325683e+03
0.1454 3.127110e+03 4.288543e+02 2.888983e+03
0.1562 3.412170e+03 3.501028e+02 2.548014e+03
0.1669 2.402880e+03 3.222002e+02 2.219659e+03
0.1777 1.903210e+03 2.780027e+02 1.875373e+03
0.1885 1.569590e+03 2.452462e+02 1.541228e+03
0.1993 1.145340e+03 2.205507e+02 1.263629e+03
0.2100 7.659950e+02 2.035940e+02 1.045361e+03
0.2208 8.598650e+02 1.797103e+02 8.489545e+02
